loan_amnt,term,int_rate,installment,emp_title,emp_length,home_ownership,annual_inc,loan_status,purpose,title,dti,delinq_2yrs,date,Reference number
4075.0, 36 months, 18.92%,149.21,lpn,5 years,RENT,60000.0,Charged Off,other,Other,15.56,0.0,01/02/2014,72569705
18950.0, 36 months, 17.14%,676.95,Systems Administrator,< 1 year,MORTGAGE,80000.0,Fully Paid,debt_consolidation,Debt consolidation,22.79,2.0,01/01/2015,39137277
12000.0, 36 months, 11.99%,398.52,SGM,10+ years,RENT,101000.0,Fully Paid,home_improvement,Home improvement,6.08,0.0,01/01/2015,84934679
9000.0, 36 months, 13.65%,306.08,Police Officer,10+ years,MORTGAGE,108000.0,Fully Paid,debt_consolidation,Debt consolidation,9.08,0.0,01/03/2014,73533441
7200.0, 36 months, 12.99%,242.57,PAINTLINE OPERATOR,7 years,MORTGAGE,50000.0,Fully Paid,debt_consolidation,Debt consolidation,16.11,0.0,01/05/2014,70841901
15000.0, 36 months,  6.03%,456.54,Asst Director of Admissions,1 year,RENT,64000.0,Fully Paid,debt_consolidation,Debt consolidation,26.65,0.0,01/06/2014,91630806
3500.0, 36 months, 14.48%,120.44,Program Manager,6 years,MORTGAGE,91000.0,Fully Paid,credit_card,Credit card refinancing,19.54,0.0,01/12/2015,83463563
13000.0, 36 months,  6.03%,395.67,Dept. Head,2 years,MORTGAGE,89000.0,Fully Paid,debt_consolidation,Debt consolidation,20.86,0.0,01/01/2014,33286254
9000.0, 36 months,  7.62%,280.46,Regional Sales Engineer,< 1 year,RENT,100000.0,Fully Paid,debt_consolidation,Debt consolidation,8.6,0.0,01/02/2014,18408034
10000.0, 36 months, 14.65%,344.95,HR Specialist III,9 years,RENT,52000.0,Fully Paid,debt_consolidation,Debt consolidation,28.09,1.0,01/03/2015,68965276
35000.0, 36 months, 12.85%,1176.77,Director of Professional Services,10+ years,MORTGAGE,145000.0,Fully Paid,debt_consolidation,Debt consolidation,19.29,0.0,01/02/2014,21004416
7800.0, 36 months, 13.66%,265.3,AVP/Branch Manager,2 years,RENT,69000.0,Fully Paid,credit_card,Credit card refinancing,12.24,0.0,01/11/2014,78917023
9125.0, 36 months, 24.50%,360.4,Branch Manager,6 years,RENT,51300.0,Charged Off,debt_consolidation,Debt consolidation,5.05,0.0,01/03/2014,42385477
7050.0, 36 months,  9.17%,224.75,city letter carrier,10+ years,MORTGAGE,75000.0,Fully Paid,debt_consolidation,Debt consolidation,25.57,0.0,01/12/2015,44927261
20475.0, 36 months, 16.99%,729.89,Office Admin,10+ years,RENT,72176.0,Fully Paid,debt_consolidation,Debt consolidation,39.13,0.0,01/10/2014,79835150
10000.0, 36 months, 15.61%,349.65,machinist,7 years,RENT,40000.0,Charged Off,debt_consolidation,Debt consolidation,20.76,0.0,01/01/2014,53466597
24000.0, 36 months, 12.29%,800.48,Controller,< 1 year,MORTGAGE,93000.0,Fully Paid,small_business,Business,16.52,0.0,01/06/2015,58108519
6625.0, 36 months, 17.57%,238.09,Bus Operator,8 years,RENT,42345.0,Fully Paid,debt_consolidation,Debt consolidation,24.77,2.0,01/08/2014,61070539
8000.0, 36 months,  7.90%,250.33,Project Engineer,< 1 year,OWN,110000.0,Charged Off,debt_consolidation,Debt consolidation,18.46,0.0,01/01/2014,40023816
20000.0, 36 months, 19.99%,743.17,Manager,4 years,RENT,72000.0,Charged Off,debt_consolidation,Debt consolidation,20.7,0.0,01/03/2014,72931329
18300.0, 36 months, 10.64%,596.01,Security ,4 years,MORTGAGE,69000.0,Fully Paid,credit_card,Credit card refinancing,10.23,0.0,01/12/2015,50686325
18400.0, 36 months, 12.59%,616.35,PHARMACY TECHNICIAN,7 years,RENT,50000.0,Fully Paid,debt_consolidation,Debt consolidation,31.69,0.0,01/11/2015,51114162
5000.0, 36 months, 12.69%,167.73,Consultant,2 years,OWN,48000.0,Charged Off,other,Other,15.58,0.0,01/06/2015,43341099
16000.0, 60 months, 14.16%,373.63,Assistant Chef,10+ years,RENT,48000.0,Charged Off,debt_consolidation,Debt consolidation,28.25,0.0,01/03/2014,80811184
1300.0, 36 months, 13.35%,44.03,Customer Service,1 year,RENT,28000.0,Fully Paid,credit_card,Credit card refinancing,13.93,0.0,01/10/2014,43384717
10000.0, 36 months, 13.65%,340.08,Software Developer,10+ years,OWN,104000.0,Fully Paid,vacation,Vacation,21.74,0.0,01/03/2014,35806876
12000.0, 36 months, 10.99%,392.81,Assistant Branch Manager,2 years,OWN,79611.0,Fully Paid,major_purchase,Major purchase,10.13,0.0,01/02/2014,30115563
33225.0, 60 months, 25.89%,992.61,Medical Doctor,< 1 year,MORTGAGE,180000.0,Fully Paid,debt_consolidation,Debt consolidation,6.91,0.0,01/01/2015,80743247
6000.0, 36 months, 15.61%,209.79,Registered Nurse,10+ years,RENT,120000.0,Fully Paid,other,Other,15.28,0.0,01/05/2014,99042745
6500.0, 36 months, 10.15%,210.2,shipping and receiving supervisor,7 years,MORTGAGE,59011.0,Fully Paid,debt_consolidation,Debt consolidation,4.79,0.0,01/10/2014,23424402
6000.0, 36 months, 12.85%,201.74,,n/a,RENT,33000.0,Fully Paid,debt_consolidation,Debt consolidation,11.02,1.0,01/01/2014,63931789
19200.0, 60 months, 13.98%,446.56,E&I Tec,2 years,MORTGAGE,95000.0,Fully Paid,debt_consolidation,Debt consolidation,14.19,0.0,01/07/2014,14190053
18000.0, 36 months,  8.39%,567.3,mechanic,9 years,MORTGAGE,71000.0,Fully Paid,debt_consolidation,Debt consolidation,15.31,0.0,01/10/2014,54578665
8075.0, 36 months, 16.59%,286.26,Clerk II,9 years,RENT,36987.62,Charged Off,debt_consolidation,Debt consolidation,21.8,0.0,01/04/2014,87862075
2800.0, 36 months,  7.49%,87.09,Customer Service Representative 3,3 years,RENT,36000.0,Fully Paid,credit_card,Credit card refinancing,23.13,0.0,01/12/2014,72279105
6000.0, 36 months, 19.47%,221.37,ultrasound technologist,5 years,RENT,70000.0,Fully Paid,debt_consolidation,Debt consolidation,18.1,0.0,01/04/2014,43779097
20000.0, 36 months, 13.99%,683.46,Corp safety manager,9 years,MORTGAGE,90000.0,Fully Paid,debt_consolidation,Debt consolidation,17.75,0.0,01/04/2015,19687596
3000.0, 36 months, 13.35%,101.59,Secretary,10+ years,OWN,50648.0,Charged Off,home_improvement,Home improvement,37.68,2.0,01/09/2014,44114147
8400.0, 36 months, 11.67%,277.68,process operator,4 years,MORTGAGE,85000.0,Fully Paid,debt_consolidation,Debt consolidation,12.64,0.0,01/07/2014,14014613
6000.0, 36 months, 11.44%,197.69,Assistant Club Manager,5 years,OWN,35000.0,Fully Paid,debt_consolidation,Debt consolidation,14.47,0.0,01/01/2015,42481580
8500.0, 36 months, 13.66%,289.11,,n/a,RENT,33468.0,Fully Paid,debt_consolidation,Debt consolidation,11.12,0.0,01/01/2015,98439236
3200.0, 36 months, 18.84%,117.05,Customer Service,7 years,RENT,30000.0,Fully Paid,medical,Medical expenses,28.44,0.0,01/04/2015,72729569
8975.0, 36 months, 16.99%,319.94,Cook,2 years,MORTGAGE,40000.0,Fully Paid,debt_consolidation,Debt consolidation,23.4,0.0,01/12/2015,48974251
19250.0, 36 months, 10.15%,622.5,Commercial/Governmental Sales,8 years,MORTGAGE,70000.0,Fully Paid,debt_consolidation,Debt consolidation,18.39,0.0,01/07/2014,82205646
10650.0, 36 months, 21.99%,406.68,driver,5 years,RENT,54000.0,Fully Paid,small_business,Business,18.29,0.0,01/04/2014,63129853
6000.0, 36 months, 14.49%,206.5,Professor,9 years,RENT,62000.0,Fully Paid,credit_card,Credit card refinancing,10.28,0.0,01/09/2014,88353250
15000.0, 36 months, 12.49%,501.74,Store Manager,3 years,OWN,100000.0,Fully Paid,debt_consolidation,Debt consolidation,15.22,0.0,01/10/2014,43714465
25000.0, 36 months,  7.49%,777.55,Business Change Manager,10+ years,RENT,125000.0,Fully Paid,debt_consolidation,Debt consolidation,7.98,0.0,01/11/2014,90762683
6000.0, 36 months, 15.61%,209.79,Associate,10+ years,RENT,42000.0,Charged Off,other,Other,17.11,0.0,01/04/2014,15122280
15000.0, 60 months, 12.99%,341.22,network technician,10+ years,MORTGAGE,75000.0,Fully Paid,debt_consolidation,Debt consolidation,19.82,0.0,01/11/2014,37046875
6000.0, 36 months, 18.24%,217.64,Instructor,3 years,RENT,75000.0,Charged Off,home_improvement,Home improvement,19.68,5.0,01/08/2014,55267191
35000.0, 36 months, 13.33%,1184.86,Chaplain,9 years,RENT,95000.0,Fully Paid,debt_consolidation,Debt consolidation,11.15,0.0,01/08/2015,95070089
30000.0, 60 months, 17.57%,754.81,Operations Manager,10+ years,RENT,90000.0,Fully Paid,debt_consolidation,Credit Card Repayment,15.96,0.0,01/01/2014,24531396
15000.0, 60 months, 14.64%,354.03,lead chef instructor,10+ years,MORTGAGE,80000.0,Fully Paid,debt_consolidation,Debt consolidation,14.87,0.0,01/03/2014,30077981
18000.0, 60 months, 21.18%,488.79,Personal Banker,10+ years,RENT,41000.0,Fully Paid,major_purchase,Major purchase,9.95,0.0,01/04/2014,14092969
28000.0, 60 months, 13.65%,646.45,Professional Services Maanager,6 years,MORTGAGE,132990.0,Fully Paid,debt_consolidation,Debt consolidation,9.49,0.0,01/03/2014,78608185
35000.0, 36 months,  8.39%,1103.09,PHYSICIAN,10+ years,MORTGAGE,200000.0,Charged Off,debt_consolidation,Debt consolidation,14.22,0.0,01/08/2014,12776141
14000.0, 36 months, 14.65%,482.92,Principle Engineer,< 1 year,MORTGAGE,184400.0,Fully Paid,small_business,Business,2.88,0.0,01/07/2015,63285763
10000.0, 36 months, 16.24%,352.76,Correction Officer,10+ years,RENT,100000.0,Fully Paid,debt_consolidation,Debt consolidation,5.26,0.0,01/01/2014,94997566
6400.0, 36 months,  6.62%,196.51,Inventory,5 years,MORTGAGE,40000.0,Fully Paid,credit_card,Credit card refinancing,13.62,0.0,01/05/2014,33005013
24950.0, 60 months, 15.61%,601.58,Sprinkler Fitter Foreman (LU 669),10+ years,MORTGAGE,70858.0,Fully Paid,debt_consolidation,Debt consolidation,31.4,0.0,01/04/2015,64959798
16000.0, 36 months, 12.39%,534.42,Police Sergeant,10+ years,MORTGAGE,125000.0,Fully Paid,debt_consolidation,Debt consolidation,14.59,0.0,01/01/2015,53761990
15400.0, 60 months, 22.15%,426.65,Manager ,2 years,RENT,48000.0,Fully Paid,home_improvement,Home improvement,26.1,0.0,01/10/2014,24821007
23600.0, 60 months, 14.99%,561.32,referee,10+ years,MORTGAGE,234000.0,Fully Paid,credit_card,Credit card refinancing,9.77,0.0,01/05/2014,40016801
14575.0, 60 months, 16.55%,358.71,Office Manager,3 years,MORTGAGE,60000.0,Fully Paid,car,Car financing,29.84,0.0,01/03/2015,20059488
5500.0, 36 months,  9.67%,176.62,Systems Security Analyst,7 years,RENT,57600.0,Fully Paid,debt_consolidation,Debt consolidation,12.78,0.0,01/02/2014,72149205
28000.0, 36 months,  6.49%,858.05,Plant Manager,6 years,MORTGAGE,145000.0,Fully Paid,credit_card,Credit card refinancing,16.72,0.0,01/09/2014,51199368
8400.0, 36 months, 14.31%,288.36,Field Tech,3 years,RENT,26400.0,Fully Paid,debt_consolidation,Debt consolidation,32.64,0.0,01/01/2015,12537200
10000.0, 36 months, 18.25%,362.78,surgical technician,9 years,MORTGAGE,54000.0,Charged Off,small_business,Business,14.52,0.0,01/01/2014,40647023
24000.0, 36 months, 15.31%,835.62,Insurance Agent,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,Debt consolidation,12.52,0.0,01/02/2014,47363058
25000.0, 36 months, 20.20%,931.64,Senior Advisory Data Engineer,10+ years,RENT,76000.0,Fully Paid,debt_consolidation,Debt consolidation,24.16,0.0,01/10/2014,16037086
12000.0, 60 months, 14.49%,282.28,Medical Assistant,10+ years,MORTGAGE,41000.0,Fully Paid,debt_consolidation,Debt consolidation,39.49,1.0,01/11/2014,90317616
4800.0, 36 months, 14.49%,165.2,Facilities Management Specialist,< 1 year,MORTGAGE,115000.0,Fully Paid,debt_consolidation,Debt consolidation,2.32,0.0,01/06/2014,20625101
12500.0, 36 months,  8.18%,392.75,Claims Adjuster,4 years,MORTGAGE,55000.0,Fully Paid,debt_consolidation,Debt consolidation,26.85,0.0,01/04/2015,90071330
10000.0, 60 months, 13.98%,232.58,dietary director,1 year,MORTGAGE,70000.0,Fully Paid,home_improvement,Home improvement,3.51,0.0,01/05/2014,50910841
10000.0, 36 months, 10.15%,323.38,Hiring Manager ,2 years,MORTGAGE,46000.0,Fully Paid,credit_card,Credit card refinancing,5.48,0.0,01/10/2014,52474597
5000.0, 36 months, 12.85%,168.11,Jr Cost Engineer,5 years,RENT,60000.0,Fully Paid,credit_card,Credit card refinancing,5.42,0.0,01/01/2014,28398084
12600.0, 60 months, 26.77%,383.02,Appliance receiver,10+ years,OWN,35000.0,Fully Paid,debt_consolidation,Debt consolidation,38.1,0.0,01/07/2015,23145366
10000.0, 36 months, 10.15%,323.38,Finance,3 years,RENT,35000.0,Fully Paid,debt_consolidation,Debt consolidation,21.74,0.0,01/05/2014,16973415
2600.0, 36 months, 15.99%,91.4,Plant Manager,9 years,MORTGAGE,58000.0,Fully Paid,other,Other,11.88,0.0,01/11/2014,12353805
35000.0, 36 months, 15.31%,1218.61,IT Program Manager,5 years,RENT,133533.0,Fully Paid,debt_consolidation,Debt consolidation,6.42,0.0,01/03/2014,93799472
35000.0, 60 months, 18.99%,907.73,Medical Market Manager,3 years,MORTGAGE,93000.0,Fully Paid,debt_consolidation,Debt consolidation,15.52,0.0,01/10/2014,23362924
35000.0, 36 months,  9.17%,1115.77,Teacher in Prison,10+ years,MORTGAGE,170000.0,Fully Paid,debt_consolidation,Debt consolidation,8.32,0.0,01/05/2015,52582319
8000.0, 36 months,  8.39%,252.14,Director Of Campus Safety,10+ years,OWN,43000.0,Fully Paid,other,Other,13.96,5.0,01/10/2014,62744103
20000.0, 36 months,  6.39%,611.98,officer,10+ years,OWN,85000.0,Fully Paid,credit_card,Credit card refinancing,10.32,0.0,01/05/2015,35092185
19950.0, 36 months, 16.99%,711.18,General Manager,< 1 year,RENT,50000.0,Charged Off,debt_consolidation,Debt consolidation,17.14,1.0,01/10/2014,28598316
16000.0, 60 months, 15.59%,385.62,advisor,10+ years,RENT,42000.0,Charged Off,home_improvement,Home improvement,18.04,0.0,01/12/2014,43110481
6500.0, 36 months, 15.99%,228.49,Supervisor ,< 1 year,RENT,54000.0,Fully Paid,debt_consolidation,Debt consolidation,22.58,0.0,01/01/2015,72741886
3000.0, 36 months, 15.61%,104.9,,n/a,RENT,16800.0,Fully Paid,credit_card,Credit card refinancing,18.43,0.0,01/03/2015,59338707
25000.0, 60 months, 20.20%,665.14,truck driver,10+ years,RENT,75000.0,Charged Off,credit_card,Credit card refinancing,27.39,0.0,01/08/2014,56555238
10450.0, 36 months, 15.61%,365.39,Service Manger,6 years,OWN,62500.0,Fully Paid,credit_card,Credit card refinancing,18.7,1.0,01/03/2014,98377919
30000.0, 60 months, 15.61%,723.34,Process Improvement Coordinator,< 1 year,RENT,112000.0,Fully Paid,debt_consolidation,Debt consolidation,30.19,0.0,01/05/2014,15534941
12600.0, 36 months, 19.99%,468.2,Billing Spec,8 years,MORTGAGE,42000.0,Fully Paid,debt_consolidation,Debt consolidation,24.49,0.0,01/11/2014,23109669
24000.0, 36 months,  9.67%,770.7,Insurance Sales,10+ years,MORTGAGE,180000.0,Fully Paid,debt_consolidation,Debt consolidation,5.46,0.0,01/04/2014,52688419
7200.0, 36 months,  9.67%,231.21,Business Systems Analyst III,10+ years,MORTGAGE,78000.0,Fully Paid,debt_consolidation,Debt consolidation,14.32,0.0,01/03/2014,24640429
23050.0, 36 months, 12.49%,771.0,,n/a,MORTGAGE,79000.0,Fully Paid,debt_consolidation,Debt consolidation,17.35,0.0,01/09/2014,32411975
9400.0, 36 months, 18.25%,341.02,Engineering Designer 3,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,Debt consolidation,14.59,0.0,01/02/2015,39039555
5875.0, 36 months, 10.64%,191.34,Registered nurse,8 years,MORTGAGE,86000.0,Fully Paid,debt_consolidation,Debt consolidation,12.82,0.0,01/12/2015,62312427
9000.0, 36 months, 12.99%,303.21,Customer Assistance Specialist,2 years,OWN,35000.0,Fully Paid,debt_consolidation,Debt consolidation,18.14,0.0,01/09/2014,18658263
18075.0, 36 months, 18.25%,655.73,Maintenance Mechanic,< 1 year,OWN,65000.0,Fully Paid,debt_consolidation,Debt consolidation,30.06,0.0,01/03/2014,68047437
10000.0, 36 months,  9.17%,318.79,Senior Coordinator,2 years,RENT,48000.0,Fully Paid,debt_consolidation,Debt consolidation,16.53,0.0,01/07/2014,20435971
16800.0, 60 months, 19.99%,445.01,Processing Supervisor,2 years,RENT,65500.0,Fully Paid,other,Other,8.34,0.0,01/03/2014,50393864
19850.0, 36 months, 10.99%,649.77,mathematics teacher,1 year,MORTGAGE,53000.0,Fully Paid,debt_consolidation,Debt consolidation,20.43,0.0,01/07/2014,76218087
16000.0, 36 months, 15.61%,559.44,Asst Supt Planning,10+ years,RENT,225000.0,Fully Paid,debt_consolidation,Debt consolidation,21.15,2.0,01/09/2014,36191661
20875.0, 60 months, 15.61%,503.33,Risk Manager,4 years,RENT,56000.0,Charged Off,credit_card,Credit card refinancing,21.6,1.0,01/10/2014,31826330
29825.0, 60 months, 18.54%,766.15,Food Manager,10+ years,MORTGAGE,65000.0,Charged Off,debt_consolidation,Debt consolidation,31.46,0.0,01/01/2015,75476300
35000.0, 60 months, 17.57%,880.61,Senior Vice President of Sales,10+ years,OWN,165000.0,Fully Paid,debt_consolidation,Debt consolidation,12.12,0.0,01/02/2014,69678325
14325.0, 60 months, 25.57%,425.26,ops manager,< 1 year,RENT,40000.0,Fully Paid,debt_consolidation,Debt consolidation,33.99,1.0,01/07/2014,37800435
5400.0, 36 months, 11.53%,178.15,Site Manager,9 years,MORTGAGE,60000.0,Fully Paid,credit_card,Credit card refinancing,11.0,0.0,01/03/2015,23169068
10375.0, 60 months, 20.20%,276.03,Receiving Supervisor,10+ years,MORTGAGE,45000.0,Fully Paid,debt_consolidation,Debt consolidation,12.99,0.0,01/07/2014,67986989
3000.0, 36 months, 16.99%,106.95,Work Planner,10+ years,MORTGAGE,130000.0,Fully Paid,other,Other,10.12,0.0,01/08/2014,23715370
10000.0, 36 months, 12.99%,336.9,System Architect,10+ years,RENT,119000.0,Fully Paid,debt_consolidation,Debt consolidation,16.81,0.0,01/05/2014,89821544
5075.0, 36 months, 15.59%,177.4,General Manager,9 years,RENT,124800.0,Charged Off,debt_consolidation,Debt consolidation,16.0,1.0,01/11/2014,66163504
5000.0, 36 months, 19.99%,185.8,Office Manager,< 1 year,MORTGAGE,27600.0,Charged Off,debt_consolidation,Debt consolidation,13.87,0.0,01/04/2014,85216995
12000.0, 36 months,  7.89%,375.43,Account Executive,< 1 year,MORTGAGE,65000.0,Fully Paid,debt_consolidation,Debt consolidation,28.18,2.0,01/05/2015,48085966
20000.0, 36 months,  7.49%,622.04,,n/a,MORTGAGE,60000.0,Fully Paid,debt_consolidation,Debt consolidation,32.31,0.0,01/02/2015,13657701
10000.0, 60 months, 16.29%,244.73,General Manager,9 years,OWN,52000.0,Charged Off,debt_consolidation,Debt consolidation,30.27,0.0,01/10/2014,81695968
5000.0, 36 months,  7.26%,154.99,,n/a,RENT,67293.0,Fully Paid,house,Home buying,16.19,1.0,01/10/2015,12796531
35000.0, 36 months, 16.55%,1240.03,Senior Print Manager,4 years,RENT,95768.0,Fully Paid,debt_consolidation,Debt consolidation,22.16,0.0,01/06/2015,59219275
25000.0, 60 months, 13.35%,573.32,Manager,10+ years,RENT,130000.0,Fully Paid,debt_consolidation,Debt consolidation,17.95,0.0,01/07/2014,82037589
12000.0, 36 months, 12.49%,401.39,teacher,10+ years,RENT,73000.0,Fully Paid,debt_consolidation,Debt consolidation,14.96,0.0,01/07/2014,14133397
7200.0, 36 months, 13.33%,243.75,Pilot,8 years,RENT,75000.0,Fully Paid,debt_consolidation,Debt consolidation,11.76,2.0,01/09/2015,43423507
35000.0, 36 months, 14.33%,1201.84,Owner,10+ years,MORTGAGE,264000.0,Fully Paid,home_improvement,Home improvement,1.11,0.0,01/11/2015,69980212
35000.0, 60 months, 14.49%,823.31,Privacy Officer,10+ years,MORTGAGE,92206.0,Fully Paid,debt_consolidation,Debt consolidation,21.54,0.0,01/08/2014,70853468
6000.0, 36 months, 15.61%,209.79,Customer Service Rep,1 year,RENT,40000.0,Fully Paid,debt_consolidation,Debt consolidation,10.29,0.0,01/08/2015,96263401
20000.0, 36 months, 16.29%,706.01,General Manager,10+ years,MORTGAGE,72100.0,Charged Off,debt_consolidation,Debt consolidation,26.03,0.0,01/08/2014,85282696
13175.0, 36 months, 18.24%,477.9,CSR,10+ years,RENT,67000.0,Fully Paid,debt_consolidation,Debt consolidation,8.6,0.0,01/05/2014,19093094
5000.0, 36 months, 20.99%,188.35,Operations director,< 1 year,MORTGAGE,85000.0,Fully Paid,debt_consolidation,Debt consolidation,8.95,0.0,01/06/2014,84392903
16575.0, 36 months, 17.57%,595.66,BOOKKEEPER,7 years,MORTGAGE,50000.0,Charged Off,debt_consolidation,Debt consolidation,28.39,1.0,01/05/2014,69966260
10000.0, 60 months, 17.86%,253.18,driver,10+ years,MORTGAGE,30000.0,Fully Paid,debt_consolidation,Debt consolidation,33.2,0.0,01/01/2015,55610430
12000.0, 36 months,  8.19%,377.09,MACHINE OPERATOR ,10+ years,RENT,38000.0,Fully Paid,credit_card,Credit card refinancing,21.1,0.0,01/02/2015,81241483
4425.0, 36 months, 19.52%,163.37,warehouse,5 years,RENT,37648.0,Charged Off,debt_consolidation,Debt consolidation,20.75,0.0,01/04/2015,36203938
12000.0, 60 months, 15.61%,289.34,service technician,3 years,OWN,40000.0,Fully Paid,home_improvement,Home improvement,11.46,0.0,01/07/2015,94620365
20000.0, 60 months,  9.17%,416.82,Analyst,7 years,OWN,113000.0,Fully Paid,small_business,Credit card refinancing,10.77,0.0,01/09/2014,16812847
6000.0, 36 months, 11.67%,198.35,Admin,4 years,RENT,40000.0,Fully Paid,debt_consolidation,Debt consolidation,25.56,0.0,01/07/2014,33500410
16000.0, 36 months,  6.62%,491.26,Senior Engineer,< 1 year,MORTGAGE,110000.0,Fully Paid,debt_consolidation,Debt consolidation,17.44,0.0,01/02/2014,32152888
4200.0, 36 months, 13.98%,143.51,Enrollment Specialist,2 years,RENT,64600.0,Fully Paid,home_improvement,Home improvement,15.9,1.0,01/08/2014,88709013
18000.0, 36 months, 14.49%,619.49,Program Manager,10+ years,MORTGAGE,125000.0,Fully Paid,debt_consolidation,Debt consolidation,15.86,0.0,01/05/2014,26118818
18000.0, 36 months,  8.39%,567.3,RDH,10+ years,RENT,89000.0,Charged Off,credit_card,Credit card refinancing,14.04,2.0,01/07/2014,26799544
15000.0, 36 months,  6.68%,460.97,Sales Manager,3 years,MORTGAGE,90000.0,Fully Paid,credit_card,Credit card refinancing,10.49,0.0,01/04/2015,68082767
6050.0, 36 months, 13.98%,206.72,Records Technician,10+ years,MORTGAGE,42252.0,Fully Paid,debt_consolidation,Debt consolidation,8.26,0.0,01/06/2014,99377231
11500.0, 36 months, 14.99%,398.6,Community Worker,1 year,RENT,32000.0,Charged Off,credit_card,Credit card refinancing,22.66,1.0,01/09/2014,24067929
12000.0, 36 months, 13.98%,410.02,Sales Manager,3 years,MORTGAGE,97200.0,Charged Off,debt_consolidation,Debt consolidation,11.15,0.0,01/05/2014,14003617
12000.0, 60 months, 14.99%,285.42,Distribution Supervisor,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,Debt consolidation,10.03,0.0,01/07/2014,62405995
7225.0, 36 months, 16.55%,255.98,Contract Administrator,2 years,OWN,52000.0,Fully Paid,moving,Moving and relocation,23.26,0.0,01/05/2015,99769103
